NRIC,NAME,SURNAME,EMAIL,DateOfBirth,ZIP,Gender,Etnicity,Religion,MaritalStatus,ICD-9
T2474102H,Darrell,Stars,StarsD@hotmail.co.uk,1983-08-29,32605,Male,White,Unknown,Never-married,401.1
S0438239J,Bryanna,Cadlett,CadleBryan@outlook.gov,1994-04-08,34442,Male,White,Unknown,Never-married,272.4
S6597022H,Marco,Fearing,FeMar@hotmail.com,1966-07-29,34434,Male,White,,Married-civ-spouse,311
F5285733M,Brice,Couchenour,Couche@outlook.co.uk,1992-04-13,33162,Male,White,,Never-married,244.9
T9546287A,Chester,Demeris,DeChester@live.com,1972-10-06,34711,Female,White,Roman Catholic,Divorced,V70.0
G0144474M,Justin,Scheets,ScJ@hotmail.com,1979-04-07,33016,Male,Black,Unknown,Never-married,250.00
F8560613K,Darryl,Capley,CapleyDarr@live.com,1982-05-11,32837,Male,White,Unknown,Married-civ-spouse,V58.69
F2777825U,Wyatt,Weisenberger,WeisenbWyatt@outlook.gov,1971-04-10,32726,Female,White,Methodist,Widowed,401.9
F2356674P,Tianna,Momplaisir,MomplaiT@live.com,1939-05-24,34957,Male,White,Unknown,Married-civ-spouse,401.9
T9442794J,Jaden,Northam,NorthamJade@gmail.com,1991-11-07,32466,Female,White,,Married-civ-spouse,250.00
T3482715Z,Deshawn,Pineau,PineauD@hotmail.gov,1996-08-08,33712,Female,Black,Roman Catholic,Separated,401.9
T4780609G,Shay,Jo,Jo@live.gov,1970-01-15,32703,Male,American Indian,Nonreligious,Never-married,427.31
F2330708K,Emilia,Goerlitz,GoerlitzEmi@gmail.com,1990-10-01,32566,Male,White,,Never-married,401.9
T9110387G,Dionte,Gockel,GocDiont@live.com,1971-02-13,32818,Female,White,Nonreligious,Married-civ-spouse,401.9
G8612773M,Cheyanne,Zakowski,ZCheyann@live.gov,1946-11-23,34982,Female,White,Unknown,Widowed,427.31
T7450735B,Misty,Rogacki,RogackMisty@outlook.co.uk,1959-12-01,34683,Male,White,Unknown,Married-civ-spouse,401.9
F2089657N,Alvaro,Sohre,So@live.gov,1988-03-24,32694,Male,White,,Never-married,272.4
G1927897L,Desirae,Drewett,DrDesira@gmail.com,1981-01-06,32091,Female,White,,Married-civ-spouse,V70.0
S7458870J,Elliot,Jarnutowski,JarnutowskiEllio@gmail.co.uk,1980-02-09,33884,Male,White,,Married-civ-spouse,530.81
S7912780I,Stephen,Colding,@outlook.com,1984-07-10,34266,Female,White,Unknown,Never-married,427.31
G4698572U,Perla,Cossairt,CossPerl@gmail.com,1987-10-14,32117,Male,White,Roman Catholic,Never-married,401.1
T2414571I,Cyrus,Stallins,StaCyr@live.gov,1980-01-25,32118,Male,White,Unknown,Divorced,272.4
G9169468U,Hugo,Sosbe,SosbHugo@hotmail.gov,1997-11-21,32583,Male,White,Unknown,Never-married,272.4
T7906128Z,Dylan,Fullmer,FullmeDylan@gmail.com,1989-02-13,33801,Female,Asian,Unknown,Never-married,V58.69
F6575591L,Kaylin,Blackler,Blackler@gmail.com,1968-04-15,34986,Male,White,Unknown,Married-civ-spouse,401.1
T4724888D,Aldo,Shoyer,ShoAl@gmail.com,1967-08-25,33170,Male,White,Agnostic,Married-civ-spouse,244.9
G2479799Q,Trever,Branker,BraTrever@gmail.co.uk,1961-05-18,33881,Male,White,Roman Catholic,Married-civ-spouse,V70.0
T4925169F,Samantha,Lonsway,LonswaySamanth@hotmail.co.uk,1955-12-19,32312,Female,White,,Divorced,311
S6015670J,Rasheed,Swaim,SRasheed@gmail.com,1974-08-29,32244,Male,White,Unknown,Married-civ-spouse,V70.0
S0714441E,Taryn,Caserta,CaT@hotmail.co.uk,1974-07-14,34668,Female,White,,Divorced,530.81
F5078526L,Paulina,Skokowski,SkokoP@live.co.uk,1986-01-20,34677,Male,White,Christian,Married-civ-spouse,272.4
T7182902B,Aiden,Dreckman,DreAi@outlook.com,1984-12-03,33610,Male,White,Unknown,Married-civ-spouse,272.4
S0657080A,Jena,Funderbunk,FundJena@outlook.co.uk,1979-10-29,32209,Male,White,Methodist,Married-civ-spouse,311
S0162374E,Blair,Muddaththir,MuddBlair@live.com,1981-11-21,33325,Male,White,Nonreligious,Married-civ-spouse,311
G0019925R,Tyson,Juilfs,JuilfsTy@live.gov,1986-01-19,32765,Female,White,,Married-spouse-absent,272.4
T7180491G,Nina,Prestia,PrestiNi@live.com,1986-07-20,32955,Male,Asian,Unknown,Married-civ-spouse,272.4
G0122750P,Chaz,Niswander,NiswandeChaz@hotmail.co.uk,1961-12-06,32765,Male,White,Lutheran,Married-civ-spouse,244.9
G9078516T,Dexter,Arnstein,ArDexte@hotmail.co.uk,1980-07-25,33483,Male,White,,Married-civ-spouse,427.31
G4046796M,Felix,Chipps,ChipFeli@live.gov,1983-04-11,34613,Male,White,Christian,Never-married,V70.0
F2957272X,Chloe,Stien,StienChl@gmail.com,1960-11-27,34689,Male,White,,Married-civ-spouse,244.9
T8026899H,Billy,Goeser,GoeseB@gmail.com,1990-10-15,33432,Male,White,Nonreligious,Married-civ-spouse,250.00
S1389011J,Mitchel,Mccommons,MccommonsMit@live.com,1979-05-17,33183,Male,White,Unknown,Married-civ-spouse,250.00
G0773542K,Taylor,Higgs,HiTayl@live.co.uk,1988-09-14,34221,Male,White,Unknown,Never-married,244.9
T7000107A,Faith,Gillingham,GillinghaFait@outlook.gov,1978-11-06,33412,Male,White,Unknown,Married-civ-spouse,427.31
T7266466C,Clayton,Rathgeb,RC@hotmail.com,1940-08-30,33165,Male,White,Unknown,Married-civ-spouse,250.00
S2807895A,Mara,Goodlow,G@outlook.com,1981-10-27,32066,Female,Black,,Never-married,V58.69
T1443517D,Victoria,Chappel,ChappeV@gmail.com,1968-08-06,32822,Female,White,,Widowed,250.00
S9145741E,Carlo,Dandridge,DandridCar@live.co.uk,1981-05-21,32003,Male,White,,Married-civ-spouse,530.81
F5728543P,Isaac,Coopwood,CooIsaac@live.co.uk,1977-01-06,33772,Male,White,,Married-civ-spouse,401.9
T2375947J,Brandyn,Zagel,ZBr@outlook.co.uk,1952-07-02,32256,Male,White,,Married-civ-spouse,250.00
G3935547R,Aileen,Batzri,BaAilee@hotmail.co.uk,1994-03-21,34638,Female,Black,,Never-married,272.4
S1661263D,Lexie,Leuty,Le@hotmail.gov,1971-01-22,33446,Male,White,Unknown,Married-civ-spouse,530.81
S8648859J,Angela,Grano,Gran@live.com,1989-12-01,34243,Male,White,Unknown,Married-civ-spouse,530.81
F7758635X,Carlo,Avalos,AvalosCarl@live.gov,1973-01-11,33919,Female,White,,Divorced,427.31
F6932865L,Stacy,Morkve,MorkvStacy@outlook.co.uk,1993-08-27,33180,Female,White,,Never-married,427.31
G9428645W,Leanna,Briskey,BriskeyL@live.gov,1991-01-24,33467,Male,Black,Unknown,Never-married,250.00
S3879692E,Tevin,Stahr,Te@gmail.com,1977-11-28,34691,Male,White,Roman Catholic,Married-civ-spouse,272.4
F9888311T,Andre,Follmer,FollmAndre@hotmail.co.uk,1953-05-04,32829,Female,White,Nonreligious,Married-civ-spouse,401.9
F0659614L,Clifton,Stoppenbach,StoppenbaCl@gmail.com,1979-02-03,32713,Male,White,Unknown,Married-civ-spouse,272.4
G6614047N,Luke,Poarch,L@live.gov,1990-12-07,33411,Male,Other,Christian,Married-civ-spouse,V58.69
F5989905T,Cayla,Shones,ShoneCay@outlook.com,1983-10-31,33196,Male,White,,Never-married,V70.0
G2651617W,Rachael,Pehl,PehlRach@live.co.uk,1971-11-30,33967,Female,Asian,,Married-civ-spouse,311
F9162299T,Domenic,Argulewicz,ArgDomenic@hotmail.co.uk,1988-09-09,32754,Female,White,Pentecostal,Never-married,V58.69
F8641805M,Jose,Antenucci,An@outlook.co.uk,1996-04-10,33477,Female,White,,Never-married,401.9
F8062549U,Benito,Nost,NosBeni@gmail.co.uk,1982-10-26,32071,Female,White,Unknown,Married-civ-spouse,244.9
G2746466K,Isamar,Ducay,DucaIsamar@gmail.com,1982-08-25,34491,Male,White,,Married-civ-spouse,401.1
S5702413E,Keon,Cogliano,CogliaKe@gmail.com,1975-01-11,33467,Male,White,Unknown,Married-civ-spouse,530.81
S1101588C,Nigel,Danser,Da@outlook.gov,1978-04-04,32696,Male,White,,Married-civ-spouse,401.1
G3910631X,Cristina,Okerson,C@hotmail.gov,1980-07-25,33442,Male,White,Unknown,Married-civ-spouse,401.9
F4287502M,Ashely,Donnie,DoAshely@live.gov,1978-06-26,34119,Male,Asian,,Married-civ-spouse,401.9
G0179762W,Fabiola,Faulconer,FaulconerFa@gmail.co.uk,1970-03-11,33184,Male,White,Unknown,Married-civ-spouse,V58.69
F5340174X,Leo,Vejarano,Vejara@gmail.co.uk,1973-03-09,32708,Female,Asian,Unknown,Married-civ-spouse,250.00
S6047597J,Talon,Escober,Ta@gmail.com,1967-06-11,32328,Female,White,Unknown,Widowed,244.9
S3195882B,Marquis,Szafranski,SzafransMarq@gmail.co.uk,1990-06-24,32550,Female,White,,Never-married,401.9
G5624619M,Jude,Sampson,SampsonJu@gmail.com,1988-04-27,33055,Female,White,,Divorced,311
G3603459U,Ali,Severin,SA@outlook.co.uk,1962-12-05,34953,Male,White,Nonreligious,Married-civ-spouse,272.4
S8051082I,Edith,Bolognia,BologEdi@live.gov,1963-01-13,34614,Female,Other,Unknown,Never-married,V70.0
T6102726B,Davin,Stancliff,St@outlook.co.uk,1992-01-09,33445,Male,White,,Never-married,401.9
G5251915L,Cayla,Walund,WalCayl@live.co.uk,1993-12-26,33559,Male,White,Unknown,Never-married,250.00
G1399107M,Alexandro,Rumpca,RumpAl@hotmail.co.uk,1961-07-28,33193,Female,White,Unknown,Divorced,244.9
T8636096I,Dakotah,Kahaleua,KahaleDak@live.co.uk,1958-09-20,33156,Male,White,,Separated,250.00
G8113193R,Ari,Sivie,Si@hotmail.co.uk,1990-07-03,34287,Male,Black,,Never-married,401.1
F5140058P,Louie,Mckay,L@gmail.com,1997-06-24,33602,Female,Black,Unknown,Never-married,244.9
G2029566W,Gordon,Sideman,SiGor@live.com,1988-05-30,33716,Female,White,,Never-married,244.9
F7935478M,Astrid,Kirnon,KAstrid@gmail.com,1971-11-11,33812,Male,White,,Never-married,401.1
S7936631E,Terrance,Aikin,T@live.co.uk,1986-06-08,33324,Male,White,Unknown,Married-civ-spouse,530.81
G0094222R,Olga,Cuhel,Ol@outlook.com,1940-06-02,33612,Female,White,Unknown,Widowed,250.00
S0575440B,Kelton,Holleyman,Ke@hotmail.co.uk,1969-03-05,33852,Female,White,Unknown,Separated,530.81
G4377515N,Miriam,Crotwell,CrotwelM@live.co.uk,1982-05-07,34653,Male,White,Unknown,Divorced,427.31
G1535380P,Daryl,Stuckmeyer,StucDar@outlook.co.uk,1976-11-30,33149,Female,White,Unknown,Married-civ-spouse,401.1
F8342923L,Dakota,Spearmon,SpeDakot@gmail.com,1992-12-02,32746,Female,White,,Separated,V70.0
T4033409B,Tariq,Ruscher,RuscheTar@gmail.com,1986-08-24,33777,Female,White,Roman Catholic,Married-civ-spouse,272.4
S6445935Z,Keven,Maks,MakKev@gmail.com,1949-06-30,33701,Male,White,Unknown,Married-civ-spouse,244.9
G7695641M,Alessandra,Remenaric,RemenariAlessa@hotmail.co.uk,1992-09-10,34614,Female,White,,Married-civ-spouse,401.9
T8575172G,Brittani,Giambruno,GB@gmail.com,1973-10-30,32073,Female,White,,Divorced,V70.0
S3803492H,Freddie,Weipert,WFre@outlook.com,1987-05-28,32206,Male,White,Roman Catholic,Never-married,V58.69
T8236869H,Sophie,Willen,Sophi@outlook.co.uk,1976-12-08,32935,Male,White,Unknown,Married-civ-spouse,427.31
F0863843T,Lizbeth,Gildon,GildLizbeth@hotmail.com,1955-07-18,33021,Male,White,Nonreligious,Married-civ-spouse,401.9
T3097784Z,Tre,Moliterno,MolitTre@hotmail.co.uk,1971-04-21,33870,Male,White,,Married-civ-spouse,272.4
F1850624Q,Herbert,Kamat,Herbert@live.co.uk,1995-04-13,34668,Female,White,Unknown,Never-married,V70.0
T6176995A,Tabitha,Dyba,Ta@gmail.co.uk,1958-11-13,33186,Male,White,Christian,Married-civ-spouse,401.9
F0308756P,Georgia,Burgamy,BurGe@hotmail.co.uk,1964-08-29,33410,Male,White,Roman Catholic,Married-civ-spouse,401.9
S7047168Z,Alberto,Maaske,Al@hotmail.com,1982-06-16,32174,Male,White,,Never-married,272.4
T6352125F,Breanna,Arrants,ArrantsBr@live.gov,1996-11-02,34221,Female,Black,Unknown,Never-married,V70.0
S0624782B,Wilfredo,Lafleche,Wilf@hotmail.co.uk,1991-05-08,34239,Male,White,Unknown,Never-married,401.1
G2150309Q,Edgar,Lapre,LapreEdgar@gmail.com,1970-11-25,33014,Male,White,Unknown,Married-civ-spouse,401.1
F9458289W,Melvin,Spraggs,Melvin@gmail.com,1962-06-19,33442,Female,White,,Divorced,244.9
S2372208I,Maurice,Canel,Maurice@outlook.co.uk,1973-08-31,32703,Male,White,,Married-civ-spouse,311
F8502970M,Kade,Dibiase,@gmail.co.uk,1991-10-24,34994,Male,White,Unknown,Married-civ-spouse,244.9
G8014952L,Jesus,Kirckof,KirJesus@gmail.com,1995-06-20,33543,Female,White,Christian,Never-married,272.4
G2620356L,Madeleine,Bridenstine,BridensMadelein@outlook.com,1951-10-05,32822,Male,White,Unknown,Divorced,530.81
S4907567G,Yolanda,Luongo,LYoland@outlook.gov,1979-10-30,32220,Male,White,Unknown,Divorced,530.81
F0842037T,Alessandra,Urtz,Ales@hotmail.com,1987-07-03,33054,Male,White,,Divorced,401.9
F1999038U,Reed,Bruschke,BruschRe@outlook.co.uk,1972-06-02,33071,Male,White,Unknown,Married-civ-spouse,401.1
G8716530L,Alana,Temoshenka,TemosheAla@outlook.com,1979-12-16,34761,Male,White,,Married-civ-spouse,427.31
S4257603D,Alysa,Naftali,Na@gmail.co.uk,1978-04-03,32223,Female,Black,Roman Catholic,Married-civ-spouse,401.9
S1263999F,Tanner,Kully,Ku@hotmail.co.uk,1981-04-02,33196,Male,White,,Married-civ-spouse,401.1
G7442277L,Rosa,Baizer,Baizer@outlook.com,1984-01-10,32817,Male,White,,Married-civ-spouse,272.4
F0682821M,Nataly,Kliever,N@live.gov,1972-09-17,33604,Male,White,Unknown,Separated,250.00
G7386055P,Skye,Broadhurst,BroaSkye@outlook.com,1977-09-16,32789,Female,White,Protestant,Married-civ-spouse,250.00
G5661316K,Shelby,Borba,BorbS@hotmail.gov,1993-10-14,33009,Female,White,,Never-married,401.1
G2763703P,Gilberto,Adside,AdsGilberto@outlook.gov,1991-02-10,32832,Male,White,,Never-married,272.4
T3414718C,Megan,Rzepka,@outlook.com,1993-04-29,33613,Female,White,,Never-married,401.1
G7429772L,Megan,Zozaya,Megan@live.co.uk,1969-12-07,34601,Male,White,,Married-civ-spouse,244.9
S7398044E,Ayanna,Sonnabend,SonnaAyan@outlook.com,1969-12-22,33565,Female,White,,Divorced,250.00
T6099859J,Janet,Manolis,ManJanet@gmail.com,1991-06-22,33472,Male,White,,Never-married,530.81
F9270315X,Don,Derenzo,DerenzDon@live.co.uk,1981-05-22,32206,Male,White,Jewish,Married-civ-spouse,427.31
F7428380L,Kory,Reuschel,ReusK@gmail.co.uk,1948-09-14,32666,Male,American Indian,,Married-civ-spouse,V70.0
G6993981M,Jacob,Chischilly,ChischillJ@live.gov,1966-04-19,33139,Male,White,Unknown,Married-civ-spouse,401.9
T6627185D,Chloe,Dhosane,Dhosane@gmail.co.uk,1969-06-19,32909,Female,White,Unknown,Divorced,250.00
F8332129Q,Valerie,Ferratella,FerValerie@gmail.com,1981-08-15,34785,Male,White,,Married-civ-spouse,401.9
T7331650B,Ella,Erz,E@gmail.co.uk,1992-05-14,33018,Male,White,,Never-married,250.00
T3426041I,Jordan,Opeka,OpekJord@hotmail.com,1995-04-08,33408,Male,White,Christian,Never-married,250.00
G4939534P,Alina,Sigley,SAl@gmail.com,1981-03-17,32824,Female,White,Unknown,Divorced,272.4
F6640499N,Chanel,Schwenzer,SchwCha@hotmail.gov,1986-09-23,32901,Female,Asian,Unknown,Married-civ-spouse,401.9
T6461629C,Darrell,Squillace,SquiDa@live.com,1999-10-18,32003,Male,Black,Unknown,Never-married,250.00
F9011677X,Kassidy,Kreger,KregeKassi@gmail.co.uk,1967-05-30,33412,Female,White,,Separated,401.1
S3229050G,Deven,Kritikos,KritikosDeven@live.com,1989-09-26,34453,Male,White,Unknown,Never-married,244.9
G8620121Q,Moises,Dahmen,DahmeMois@gmail.com,1994-03-19,33615,Female,Black,Protestant,Never-married,401.9
S6922134C,Bobbie,Hirsh,HBob@outlook.co.uk,1994-07-23,33150,Female,White,,Never-married,427.31
G5781463L,Angelo,Mossey,MossA@live.com,1966-03-09,33177,Male,White,Unknown,Married-civ-spouse,401.9
S8483653B,Nina,Hirpara,HirpaN@hotmail.com,1965-07-16,33458,Male,White,Roman Catholic,Married-civ-spouse,401.9
T8819061J,Lakeisha,Obenauer,ObenaLakei@gmail.co.uk,1989-08-07,33954,Male,White,,Married-civ-spouse,401.1
F7672394W,Darnell,Zajicek,ZajiDar@hotmail.gov,1989-05-17,33617,Female,White,Unknown,Never-married,244.9
G1107174X,Hollie,Toren,Tor@outlook.gov,1993-04-13,34145,Male,White,Methodist,Divorced,244.9
S7748361F,Sydnee,Tahon,Tah@gmail.com,1996-08-07,34202,Female,White,Unknown,Never-married,272.4
T5090150E,Jovanny,Sheely,SheelJovanny@hotmail.com,1974-01-08,34117,Male,White,Nonreligious,Married-civ-spouse,272.4
S4178815A,Wendell,Wrede,WWe@live.com,1984-12-22,33015,Male,White,Unknown,Married-civ-spouse,V70.0
G0384306T,Walker,Furmanik,Furman@live.gov,1971-11-06,32065,Male,White,Nonreligious,Married-civ-spouse,272.4
T6202782G,Randolph,Zuckerman,ZuckerRandolph@hotmail.com,1981-01-13,33165,Female,White,,Widowed,311
T5559119I,Shayla,Hence,HenSha@gmail.com,1994-09-24,33919,Male,White,Roman Catholic,Married-civ-spouse,401.9
G0638450K,Isaias,Nolin,Isa@hotmail.gov,1982-08-22,33823,Female,White,,Never-married,401.9
F3243168L,Davis,Dimmick,DimmicDav@hotmail.co.uk,1988-02-03,33805,Female,White,,Never-married,V58.69
T2785022G,Latasha,Riggert,RiggLatasha@live.com,1978-06-18,33430,Female,White,,Divorced,401.9
F3363027K,Rey,Geoffrey,GeoffreyRe@gmail.com,1968-12-24,32222,Male,White,Unknown,Married-civ-spouse,244.9
G5622312Q,Trevon,Richison,RichisonTre@live.co.uk,1994-02-16,34119,Male,White,Unknown,Never-married,V70.0
S8676317F,Simon,Perazzo,Pera@live.co.uk,1982-06-16,33134,Male,White,Unknown,Married-civ-spouse,272.4
G2788991M,Lizette,Presha,Pre@outlook.com,1991-03-30,32907,Female,White,,Married-civ-spouse,427.31
S6099795J,Carla,Kichline,KichlinCa@outlook.gov,1993-10-07,33176,Female,White,Unknown,Never-married,V70.0
G6854872K,Sean,Teats,Te@live.gov,1978-01-24,32311,Male,White,,Married-civ-spouse,401.1
S0097899Z,Chantal,Llaneza,LlCh@outlook.com,1973-06-19,32839,Female,Black,,Never-married,272.4
F8341544N,Nicole,Auther,AutN@live.com,1967-08-01,34986,Male,Black,,Married-civ-spouse,401.1
G9421391Q,Danielle,Smid,Dan@live.gov,1993-03-13,34232,Male,White,,Divorced,401.1
S1828061B,Angelica,Euber,EuberAng@live.com,1959-09-24,33928,Female,White,Unknown,Divorced,401.9
T9644508C,Tiffany,Winnen,WinnTiffany@live.com,1992-09-30,33436,Male,White,,Never-married,250.00
F6797276R,Janae,Kooken,@hotmail.com,1972-11-01,32714,Male,White,,Married-civ-spouse,272.4
T7658804Z,Barry,Petek,Pete@outlook.gov,1982-07-08,32926,Male,White,Unknown,Divorced,401.1
T6321200H,Omari,Dickerman,DickeOmari@hotmail.com,1987-03-08,32824,Male,White,Christian,Married-civ-spouse,272.4
T9041317A,Jaylen,Pearle,PearlJ@hotmail.com,1987-04-01,33584,Female,Black,,Never-married,272.4
S7507609F,Makayla,Eveleth,EveMakayla@outlook.com,1981-12-25,32805,Male,White,Unknown,Married-civ-spouse,311
G4624106K,Allyssa,Jolina,JolAllys@gmail.com,1968-08-22,33176,Male,White,,Married-civ-spouse,272.4
S8091626D,Christin,Denogean,DeC@outlook.gov,1978-12-02,32796,Male,White,Unknown,Never-married,V58.69
F3173875W,Ernest,Lachenauer,LachenauErnes@gmail.com,1974-12-20,33024,Female,White,Unknown,Divorced,401.1
T6454199D,Joelle,Aron,ArJoelle@hotmail.co.uk,1963-10-30,33713,Female,White,,Widowed,V70.0
T7976842A,Lorenzo,Degroat,Lorenz@hotmail.com,1987-09-22,33629,Female,White,,Never-married,272.4
S1392399Z,Yazmin,Wauson,WausoYazm@gmail.com,1957-08-27,32065,Male,White,,Married-civ-spouse,401.9
F6258390T,Kirstie,Ennis,EKir@live.gov,1985-08-24,32250,Male,White,,Never-married,401.1
S4828069B,Jeffrey,Eells,EJeffr@hotmail.com,1982-12-05,33510,Male,White,Unknown,Married-civ-spouse,401.1
T1582055A,Bradley,Rickenbach,RickenbaBradle@gmail.com,1965-06-14,34683,Male,White,Unknown,Divorced,401.9
F1720315X,Jacquelyn,Marson,Ja@live.com,1991-10-17,32413,Male,White,Unknown,Never-married,401.9
F2033529R,Chadwick,Stanberry,StanberrChadw@gmail.com,1988-12-15,32114,Female,White,Unknown,Divorced,311
G5862583M,Nadia,Wehunt,WehuntNad@outlook.com,1986-05-07,32566,Male,White,Unknown,Married-civ-spouse,401.9
G6023582K,Elliot,Bergo,Ber@outlook.gov,1970-03-19,33811,Female,White,Unknown,Divorced,V58.69
F8753490K,Kassie,Jedik,Kas@outlook.gov,1971-09-13,32724,Female,Black,Unknown,Never-married,250.00
S4744934J,Tia,Pingitore,PingitT@live.co.uk,1993-03-24,33950,Female,Black,,Never-married,401.9
S3426157A,Giovanny,Sundermeyer,SuGiovanny@hotmail.co.uk,1983-02-10,32935,Female,White,Nonreligious,Divorced,V70.0
T1136585Z,Adrien,Zigich,Zi@live.com,1972-11-13,33169,Female,White,Protestant,Married-civ-spouse,V70.0
T3247297D,Billy,Arnet,Bi@gmail.com,1991-09-09,32779,Male,White,Baptist,Never-married,272.4
S6267739B,Cheyanne,Rollinger,RC@gmail.com,1968-02-09,33812,Male,White,Unknown,Divorced,401.9
F4449625U,Josiah,Galeano,GJos@gmail.co.uk,1993-05-30,33173,Female,White,,Never-married,401.9
S0140035E,Galen,Tillberry,Gale@live.com,1983-10-14,33410,Female,White,Roman Catholic,Married-civ-spouse,250.00
G1484849P,Bridget,Mormino,MoB@gmail.com,1996-04-26,32259,Female,White,Roman Catholic,Married-civ-spouse,311
S1115800E,Enrique,Antunez,AntuneEnriqu@hotmail.gov,1993-08-15,33559,Female,White,Nonreligious,Never-married,530.81
F7432000R,Garett,Schwegel,SchwegelGarett@hotmail.gov,1945-05-30,33897,Female,White,Unknown,Widowed,V58.69
T3354706D,Nina,Garduno,GNina@gmail.com,1994-09-14,33185,Female,White,Christian,Never-married,244.9
S1770260B,Julien,Scaiano,ScaiaJulien@hotmail.co.uk,1980-10-12,34286,Male,White,Roman Catholic,Married-civ-spouse,401.9
G5610521L,Ahmed,Antinoro,AnAhme@live.gov,1989-08-18,32208,Male,White,,Never-married,272.4
G7873327Q,Melinda,Amedee,AmM@gmail.com,1976-09-01,32792,Female,White,Unknown,Never-married,250.00
G6277606N,Teresa,Bertozzi,BertozziTe@hotmail.co.uk,1986-04-24,33010,Male,White,,Divorced,272.4
S9822423H,Tevin,Shideler,ShidTevin@gmail.com,1986-02-21,32128,Male,White,Baptist,Married-civ-spouse,272.4
G5778993W,Warren,Cartegena,CWarren@gmail.com,1986-02-18,34654,Male,White,Roman Catholic,Married-civ-spouse,530.81
T2841076Z,Henry,Keenan,@live.co.uk,1981-10-21,34479,Male,White,Unknown,Married-civ-spouse,272.4
F8060709K,Celina,Monaham,Mo@outlook.com,1977-07-26,32081,Female,Black,,Never-married,V70.0
G1968429Q,Mark,Pouk,PoM@outlook.gov,1977-10-24,34785,Male,White,Unknown,Married-civ-spouse,272.4
G8410751N,Paul,Jacinto,JacintPau@outlook.com,1942-04-14,33931,Male,Black,Unknown,Married-civ-spouse,272.4
G0734079Q,Garrison,Ablin,Garriso@hotmail.gov,1984-06-04,33160,Male,White,Unknown,Married-civ-spouse,530.81
S6415221A,Drew,Barro,BarrDre@gmail.com,1991-05-06,33909,Male,Black,,Married-civ-spouse,250.00
S9087725I,Kareem,Shapero,ShKare@gmail.com,1952-03-31,34135,Female,White,Unknown,Divorced,530.81
S3813114A,Jose,Wilbourn,WilboJ@live.co.uk,1969-08-09,33486,Male,White,Nonreligious,Married-civ-spouse,272.4
S5830164G,Tatiana,Kalmus,KaTat@gmail.com,1979-06-15,32713,Female,White,Unknown,Married-civ-spouse,V58.69
F9950729L,Kelcie,Kotera,Kotera@outlook.gov,1969-08-11,33162,Male,White,Unknown,Married-civ-spouse,401.1
G2827698L,Moses,Etters,EMo@outlook.co.uk,1983-10-24,33155,Male,White,,Married-civ-spouse,272.4
G8758773T,Mya,Batters,BattMy@live.com,1976-05-10,33015,Female,White,,Divorced,272.4
F9966632M,Angela,Madon,MaAnge@live.gov,1994-09-10,32444,Male,Black,,Never-married,272.4
F6848739X,Santos,Buba,BS@gmail.co.uk,1960-08-12,32163,Male,White,,Married-civ-spouse,272.4
F2816561R,Alan,Tako,TaAla@live.gov,1979-07-24,33543,Female,White,,Never-married,401.9
T7413749J,Lawrence,Murilla,MuLawren@gmail.com,1986-09-16,34251,Male,White,Unknown,Married-civ-spouse,311
F5332948U,Kristopher,Feigel,Kri@hotmail.com,1996-05-06,33946,Female,White,Nonreligious,Never-married,V58.69
F9851716L,Lucia,Segler,SeglerLuci@gmail.com,1963-08-06,32506,Male,White,,Married-civ-spouse,V70.0
S7540670C,Alaina,Skone,SkoAla@outlook.gov,1973-01-26,33805,Male,White,Baptist,Married-civ-spouse,427.31
S5968427B,Ernest,Pribyl,Pr@outlook.gov,1993-05-19,34683,Male,White,,Married-civ-spouse,401.9
T5498433B,Valentin,Dollen,DolleVa@outlook.gov,1973-10-30,33182,Male,White,Unknown,Married-civ-spouse,401.9
T1480710A,Maria,Haymore,@live.gov,1986-01-05,34287,Male,White,,Never-married,401.9
S0593347A,Harrison,Mckindra,McHa@outlook.co.uk,1996-09-25,32303,Female,White,,Never-married,250.00
T3925661D,Kassie,Castleton,CasKas@live.co.uk,1994-09-09,33076,Male,White,Unknown,Never-married,427.31
S1003090J,Sofia,Nico,NicoSofi@live.com,1978-02-04,32110,Male,White,,Never-married,427.31
F6314004W,Colt,Oishi,Oi@outlook.co.uk,1962-06-10,34105,Male,White,Roman Catholic,Married-civ-spouse,V70.0
T3469924J,Erik,Lomas,LomaE@live.co.uk,1993-06-26,33010,Male,White,Nonreligious,Never-married,530.81
T6259520E,Whitley,Harkcom,HarkcoWhitley@outlook.gov,1970-09-27,32771,Male,Black,Roman Catholic,Married-civ-spouse,401.9
S1412122F,Zoey,Newsam,Newsam@outlook.gov,1957-01-28,32246,Male,White,Unknown,Married-civ-spouse,401.9
G1620180N,Kara,Doetsch,DoetKar@live.com,1988-01-28,34652,Male,White,Unknown,Divorced,244.9
T5342465A,Kacie,Weinraub,WeK@outlook.gov,1998-10-20,32779,Male,White,Nonreligious,Never-married,250.00
F4148122Q,Kassie,Hilleary,HillearK@outlook.com,1975-01-27,33584,Male,White,Nonreligious,Never-married,401.9
G9256096K,Nick,Been,BeeNick@gmail.co.uk,1974-09-26,32766,Male,White,Roman Catholic,Married-civ-spouse,V70.0
S9714799Z,Dallas,Godden,GoddDall@live.com,1958-07-31,32114,Male,White,Nonreligious,Married-civ-spouse,V70.0
